                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.60007,                 0.9487,                0.54028,                0.83638,                0.95294,                0.88576,                0.90357,                0.77798,                0.93363,                0.83544,                0.85199,                0.58378,                0.50717,                 0.9851,                 0.4008,                0.81305,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.59712,                0.93266,                0.52947,                0.83569,                 0.9535,                0.88458,                0.90194,                0.78372,                0.91559,                0.85573,                0.85068,                0.58136,                0.49204,                 1.0031,                0.39832,                0.81021,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.58668,                0.92589,                0.53324,                0.83031,                0.95597,                0.88379,                 0.9023,                0.78741,                0.91919,                0.85873,                0.85624,                0.58066,                0.50315,                0.99714,                0.39885,                0.81174,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.58533,                0.95481,                0.53942,                0.83626,                0.95934,                0.88705,                0.90362,                0.78129,                0.91577,                0.86824,                0.86342,                0.59007,                0.50153,                0.96953,                0.39294,                0.81201,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.58467,                 0.9074,                 0.5312,                0.83245,                0.94659,                0.89397,                0.90356,                0.78521,                0.92616,                0.85154,                0.85532,                0.59566,                0.49992,                0.98545,                0.39811,                0.81198,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.59757,                 0.9312,                 0.5341,                0.83997,                0.95084,                0.89542,                0.90384,                0.78475,                0.93175,                0.85056,                0.85884,                0.60569,                 0.4898,                0.92826,                0.39486,                0.81001,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.66151,                0.96475,                0.64815,                0.84459,                0.96562,                0.88717,                0.90402,                0.78523,                0.93082,                0.85017,                 0.8623,                0.60207,                0.51129,                0.92742,                0.40597,                0.81293,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.61113,                0.93192,                0.60785,                0.84523,                0.95417,                0.88461,                0.90408,                0.77679,                0.90107,                0.83369,                 0.8435,                0.58865,                0.55195,                0.95627,                 0.4583,                0.82247,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.57755,                0.90549,                0.60737,                0.83385,                0.94395,                0.88708,                 0.9028,                0.76887,                 0.9252,                0.81378,                0.83912,                0.58091,                0.55398,                0.95901,                 0.4633,                0.82267,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.57134,                0.87697,                0.59484,                0.83389,                0.94334,                0.88179,                0.90141,                0.77997,                0.93169,                0.82635,                0.85072,                0.58557,                0.52748,                0.94538,                0.41677,                0.81766,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.55813,                 0.8828,                0.57073,                0.83251,                0.94358,                 0.8848,                0.90101,                0.78701,                0.94005,                0.83042,                 0.8547,                0.59815,                0.50675,                0.93041,                 0.3984,                0.81361,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.55022,                0.88709,                0.56562,                0.82718,                0.94966,                0.88751,                0.90177,                0.78711,                0.91112,                 0.8483,                0.85994,                0.59375,                0.50012,                0.91768,                0.39216,                0.81161,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.53195,                0.85612,                0.56446,                  0.835,                0.95222,                0.89044,                 0.9028,                0.78626,                0.90939,                0.84031,                0.85508,                0.58878,                0.49937,                0.91145,                0.38912,                0.81078,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.52191,                0.85013,                0.55146,                0.82928,                0.95208,                0.88914,                 0.9025,                0.78671,                0.90533,                0.84508,                0.85419,                0.58646,                0.49538,                0.90704,                0.38769,                 0.8098,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.54308,                0.85656,                0.55778,                0.83041,                0.95274,                0.89154,                0.90248,                0.78576,                0.90676,                0.84645,                0.85463,                0.58685,                0.49427,                0.90647,                 0.3904,                0.80934,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.52716,                0.84633,                0.56018,                0.82755,                0.95171,                0.89249,                0.90236,                0.78338,                0.90336,                0.84617,                0.85429,                0.58971,                0.49079,                0.90217,                0.38861,                0.80909,             1.0467e-05,             1.0467e-05,             1.0467e-05
