                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.26908,                0.23843,                0.22106,                0.85144,                0.99889,                      1,                  0.995,                0.99389,                0.99889,                      1,                  0.995,                  0.995,                0.17477,                0.15529,                0.15005,                0.78056,               0.000812,               0.000812,               0.000812
                     62,                0.27324,                0.24241,                0.22809,                0.85232,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.15429,                0.16596,                0.13456,                0.77102,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.2586,                0.25944,                0.21167,                0.84111,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                  0.995,                 0.1655,                0.15517,                 0.1395,                 0.7771,              0.0007724,              0.0007724,              0.0007724
                     64,                0.25548,                0.24642,                0.21522,                0.85247,                 0.9989,                      1,                  0.995,                0.99409,                 0.9989,                      1,                  0.995,                  0.995,                0.17145,                0.16945,                0.15351,                0.77966,              0.0007526,              0.0007526,              0.0007526
                     65,                0.26243,                0.24882,                0.21035,                0.85041,                0.99887,                      1,                  0.995,                  0.995,                0.99887,                      1,                  0.995,                  0.995,                0.13906,                 0.1448,                 0.1357,                0.76621,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.2784,                0.26638,                0.21238,                0.86025,                0.99888,                      1,                  0.995,                  0.995,                0.99888,                      1,                  0.995,                  0.995,                0.15434,                0.17527,                 0.1242,                0.77161,               0.000713,               0.000713,               0.000713
                     67,                0.26265,                0.24301,                0.20697,                0.85288,                0.99888,                      1,                  0.995,                  0.995,                0.99888,                      1,                  0.995,                  0.995,                0.13418,                0.14269,                0.12521,                0.76863,              0.0006932,              0.0006932,              0.0006932
                     68,                0.25254,                0.21685,                0.20606,                0.84508,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.14637,                0.14524,                 0.1258,                0.77035,              0.0006734,              0.0006734,              0.0006734
                     69,                0.26395,                0.26241,                0.21444,                0.85521,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.13095,                 0.1481,                0.12135,                0.76498,              0.0006536,              0.0006536,              0.0006536
                     70,                0.23558,                0.23677,                0.19201,                0.85572,                0.99828,                      1,                  0.995,                  0.995,                0.99828,                      1,                  0.995,                  0.995,                0.15479,                0.14449,                 0.1367,                  0.771,              0.0006338,              0.0006338,              0.0006338
